dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.420959,18.336700,0.000650,0.065002,3.250080,162.504001,0.024040
0.020000,5.421334,18.336709,0.001025,0.018757,-2.312218,-278.114902,0.023687
0.020000,5.424064,18.336772,0.003756,0.136540,5.889133,410.067550,0.022984
0.020000,5.432977,18.336972,0.012671,0.445745,15.460251,478.555876,0.021934
0.020000,5.444848,18.337224,0.024545,0.593702,7.397868,-403.119122,0.020548
0.020000,5.459667,18.337516,0.039367,0.741100,7.369908,-1.397983,0.018833
0.020000,5.477421,18.337833,0.057123,0.887829,7.336440,-1.673423,0.016803
0.020000,5.498094,18.338156,0.077799,1.033777,7.297380,-1.952979,0.014474
0.020000,5.521668,18.338466,0.101375,1.178792,7.250777,-2.330166,0.011862
0.020000,5.548122,18.338742,0.127830,1.322779,7.199327,-2.572487,0.008987
0.020000,5.577433,18.338959,0.157142,1.465598,7.140960,-2.918356,0.005870
0.020000,5.609576,18.339094,0.189286,1.607156,7.077868,-3.154597,0.002536
0.020000,5.644523,18.339121,0.224233,1.747362,7.010331,-3.376880,6.282195
0.020000,5.682245,18.339014,0.261955,1.886095,6.936650,-3.684009,6.278505
0.020000,5.722710,18.338746,0.302420,2.023287,6.859600,-3.852516,6.274679
0.020000,5.765884,18.338294,0.345597,2.158821,6.776697,-4.145149,6.270749
0.020000,5.811732,18.337631,0.391449,2.292630,6.690461,-4.311786,6.266748
0.020000,5.860217,18.336735,0.439943,2.424670,6.601988,-4.423661,6.262708
0.020000,5.911300,18.335585,0.491039,2.554818,6.507387,-4.730084,6.258665
0.020000,5.964942,18.334161,0.544700,2.683043,6.411276,-4.805530,6.254656
0.020000,6.021101,18.332446,0.600885,2.809270,6.311359,-4.995831,6.250718
0.020000,6.079736,18.330428,0.659554,2.933444,6.208662,-5.134869,6.246890
0.020000,6.140801,18.328097,0.720664,3.055485,6.102074,-5.329382,6.243211
0.020000,6.204253,18.325446,0.784171,3.175357,5.993609,-5.423279,6.239724
0.020000,6.270045,18.322476,0.850031,3.292985,5.881386,-5.611126,6.236469
0.020000,6.338132,18.319189,0.918197,3.408290,5.765228,-5.807907,6.233491
0.020000,6.408464,18.315594,0.988621,3.521219,5.646473,-5.937741,6.230834
0.020000,6.480994,18.311708,1.061255,3.631672,5.522643,-6.191488,6.228546
0.020000,6.555669,18.307550,1.136046,3.739566,5.394708,-6.396776,6.226673
0.020000,6.632439,18.303150,1.212942,3.844786,5.261013,-6.684741,6.225267
0.020000,6.711249,18.298541,1.291886,3.947213,5.121306,-6.985352,6.224380
0.020000,6.792042,18.293768,1.372820,4.046696,4.974177,-7.356463,6.224068
0.020000,6.874759,18.288881,1.455681,4.143070,4.818688,-7.774463,6.224389
0.020000,6.959338,18.283941,1.540404,4.236136,4.653325,-8.268139,6.225404
0.020000,7.045710,18.279016,1.626917,4.325664,4.476361,-8.848165,6.227182
0.020000,7.133806,18.274186,1.715145,4.411390,4.286329,-9.501640,6.229794
0.020000,7.223546,18.269542,1.805005,4.492999,4.080431,-10.294868,6.233316
0.020000,7.314845,18.265185,1.896408,4.570131,3.856620,-11.190566,6.237833
0.020000,7.407608,18.261227,1.989255,4.642393,3.613110,-12.175511,6.243437
0.020000,7.501731,18.257795,2.083441,4.709294,3.345019,-13.404540,6.250229
0.020000,7.597097,18.255027,2.178847,4.770297,3.050160,-14.742952,6.258320
0.020000,7.693574,18.253076,2.275344,4.824820,2.726155,-16.200247,6.267831
0.020000,7.791012,18.252106,2.372787,4.872153,2.366636,-17.975954,6.278899
