dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.472040,16.212314,0.000650,0.065002,3.250080,162.504001,0.024040
0.020000,5.471665,16.212305,0.001025,0.018757,-2.312218,-278.114902,0.023687
0.020000,5.472900,16.212333,0.002261,0.061775,2.150885,223.155141,0.022984
0.020000,5.479584,16.212483,0.008946,0.334271,13.624788,573.695152,0.021934
0.020000,5.488509,16.212673,0.017873,0.446338,5.603349,-401.071950,0.020548
0.020000,5.499685,16.212893,0.029051,0.558931,5.629666,1.315859,0.018833
0.020000,5.513127,16.213133,0.042495,0.672196,5.663236,1.678512,0.016803
0.020000,5.528850,16.213378,0.058221,0.786270,5.703724,2.024401,0.014474
0.020000,5.546874,16.213616,0.076246,0.901256,5.749312,2.279388,0.011862
0.020000,5.567218,16.213828,0.096592,1.017290,5.801667,2.617746,0.008987
0.020000,5.589907,16.213996,0.119281,1.134465,5.858779,2.855625,0.005870
0.020000,5.614965,16.214101,0.144339,1.252903,5.921870,3.154509,0.002536
0.020000,5.642419,16.214122,0.171793,1.372716,5.990685,3.440765,6.282195
0.020000,5.672299,16.214037,0.201673,1.493984,6.063389,3.635177,6.278505
0.020000,5.704635,16.213823,0.234009,1.616817,6.141643,3.912712,6.274679
0.020000,5.739458,16.213458,0.268835,1.741276,6.222962,4.065938,6.270749
0.020000,5.776803,16.212918,0.306184,1.867453,6.308844,4.294118,6.266748
0.020000,5.816705,16.212181,0.346093,1.995448,6.399748,4.545198,6.262708
0.020000,5.859200,16.211224,0.388599,2.125289,6.492059,4.615547,6.258665
0.020000,5.904326,16.210025,0.433740,2.257073,6.589199,4.857028,6.254656
0.020000,5.952121,16.208566,0.481557,2.390853,6.689001,4.990074,6.250718
0.020000,6.002625,16.206827,0.532091,2.526696,6.792131,5.156503,6.246890
0.020000,6.055879,16.204794,0.585384,2.664647,6.897558,5.271375,6.243211
0.020000,6.111926,16.202453,0.641480,2.804789,7.007088,5.476490,6.239724
0.020000,6.170809,16.199794,0.700423,2.947175,7.119317,5.611452,6.236469
0.020000,6.232575,16.196812,0.762261,3.091864,7.234451,5.756703,6.233491
0.020000,6.297269,16.193506,0.827040,3.238950,7.354300,5.992456,6.230834
0.020000,6.364942,16.189879,0.894810,3.388499,7.477440,6.156977,6.228546
0.020000,6.435645,16.185943,0.965622,3.540615,7.605818,6.418912,6.226673
0.020000,6.509432,16.181713,1.039530,3.695400,7.739244,6.671295,6.225267
0.020000,6.586360,16.177214,1.116590,3.852983,7.879126,6.994103,6.224380
0.020000,6.666490,16.172480,1.196860,4.013505,8.026106,7.348988,6.224068
0.020000,6.749888,16.167553,1.280403,4.177138,8.181640,7.776695,6.224389
0.020000,6.836622,16.162487,1.367284,4.344078,8.347026,8.269299,6.225404
0.020000,6.926766,16.157347,1.457575,4.514554,8.523780,8.837687,6.227182
0.020000,7.020402,16.152214,1.551352,4.688837,8.714180,9.520002,6.229794
0.020000,7.117617,16.147184,1.648697,4.867230,8.919645,10.273293,6.233316
0.020000,7.218504,16.142370,1.749698,5.050089,9.142930,11.164221,6.237833
0.020000,7.323166,16.137906,1.854455,5.237844,9.387746,12.240830,6.243437
0.020000,7.431712,16.133949,1.963074,5.430943,9.654964,13.360868,6.250229
0.020000,7.544263,16.130684,2.075672,5.629923,9.948974,14.700522,6.258320
0.020000,7.660948,16.128326,2.192381,5.835415,10.274604,16.281482,6.267831
0.020000,7.781903,16.127126,2.313342,6.048058,10.632179,17.878779,6.278899
0.020000,7.907275,16.127375,2.438715,6.268627,11.028453,19.813684,0.008486
0.020000,8.037218,16.129414,2.568673,6.497946,11.465956,21.875160,0.023128
0.020000,8.171889,16.133637,2.703410,6.736835,11.944428,23.923590,0.039820
0.020000,8.311445,16.140501,2.843135,6.986233,12.469914,26.274302,0.058760
0.020000,8.456036,16.150539,2.988074,7.246961,13.036367,28.322659,0.080161
0.020000,8.605795,16.164363,3.138470,7.519806,13.642265,30.294880,0.104252
0.020000,8.760824,16.182678,3.294576,7.805305,14.274967,31.635106,0.131271
0.020000,8.921168,16.206287,3.456649,8.103638,14.916626,32.082927,0.161460
0.020000,9.086794,16.236095,3.624937,8.414376,15.536889,31.013177,0.195053
0.020000,9.257553,16.273110,3.799662,8.736253,16.093848,27.847943,0.232259
0.020000,9.433136,16.318422,3.980997,9.066757,16.525200,21.567575,0.273243
0.020000,9.613025,16.373178,4.169035,9.401893,16.756844,11.582235,0.318090
0.020000,9.796448,16.438528,4.363752,9.735861,16.698366,-2.923892,0.366780
0.020000,9.982344,16.515551,4.564972,10.061015,16.257726,-22.032031,0.419147
0.020000,10.169344,16.605163,4.772335,10.368166,15.357516,-45.010481,0.474852
0.020000,10.355810,16.708006,4.985282,10.647323,13.957870,-69.982302,0.533368
0.020000,10.539901,16.824356,5.203059,10.888854,12.076556,-94.065684,0.593986
0.020000,10.719703,16.954063,5.424763,11.085191,9.816853,-112.985159,0.655855
0.020000,10.893382,17.096538,5.649403,11.232037,7.342265,-123.729401,0.718041
0.020000,11.059332,17.250810,5.875985,11.329075,4.851915,-124.517501,0.779607
0.020000,11.216301,17.415639,6.103599,11.380685,2.580511,-113.570211,0.839696
0.020000,11.363445,17.589646,6.331479,11.394031,0.667308,-95.660129,0.897586
0.020000,11.500333,17.771443,6.559050,11.378538,-0.774665,-72.098660,0.952735
0.020000,11.626437,17.959018,6.785074,11.301213,-3.866254,-154.579487,1.004590
0.020000,11.740890,18.149090,7.006946,11.093566,-10.382360,-325.805282,1.052494
0.020000,11.843467,18.338536,7.222380,10.771701,-16.093240,-285.543986,1.096093
0.020000,11.935040,18.525829,7.430861,10.424045,-17.382800,-64.477988,1.135554
0.020000,12.016845,18.710405,7.632752,10.094595,-16.472490,45.515498,1.171257
0.020000,12.090018,18.891924,7.828465,9.785632,-15.448157,51.216647,1.203590
0.020000,12.155565,19.070173,8.018384,9.495928,-14.485196,48.148025,1.232915
0.020000,12.204690,19.209594,8.166206,7.391129,-105.239963,-4537.738358,1.229594
0.020000,12.254359,19.348207,8.313450,7.362174,-1.447732,5189.611557,1.223642
0.020000,12.303645,19.482994,8.456965,7.175740,-9.321684,-393.697606,1.216628
0.020000,12.352653,19.613953,8.596794,6.991450,-9.214529,5.357786,1.208592
0.020000,12.401469,19.741088,8.732978,6.809239,-9.110540,5.199454,1.199574
0.020000,12.450166,19.864403,8.865560,6.629077,-9.008086,5.122679,1.189612
0.020000,12.498802,19.983904,8.994579,6.450963,-8.905735,5.117524,1.178744
0.020000,12.547422,20.099602,9.120078,6.274920,-8.802110,5.181266,1.167009
0.020000,12.596057,20.211510,9.242098,6.101010,-8.695545,5.328232,1.154448
0.020000,12.644728,20.319648,9.360684,5.929314,-8.584775,5.538505,1.141103
0.020000,12.693445,20.424038,9.475883,5.759928,-8.469301,5.773711,1.127016
0.020000,12.742209,20.524709,9.587742,5.592972,-8.347780,6.076064,1.112234
0.020000,12.791010,20.621695,9.696314,5.428581,-8.219594,6.409311,1.096804
0.020000,12.839832,20.715036,9.801651,5.266882,-8.084917,6.733843,1.080778
0.020000,12.888651,20.804777,9.903812,5.108025,-7.942855,7.103083,1.064208
0.020000,12.937436,20.890972,10.002855,4.952143,-7.794117,7.436893,1.047152
0.020000,12.986151,20.973678,10.098842,4.799364,-7.638925,7.759602,1.029667
0.020000,13.034758,21.052961,10.191838,4.649807,-7.477871,8.052719,1.011814
0.020000,13.083211,21.128889,10.281909,4.503563,-7.312187,8.284215,0.993655
0.020000,13.131463,21.201539,10.369123,4.360706,-7.142864,8.466128,0.975254
0.020000,13.179465,21.270990,10.453549,4.221280,-6.971293,8.578570,0.956676
0.020000,13.227165,21.337327,10.535255,4.085299,-6.799048,8.612242,0.937985
0.020000,13.274511,21.400636,10.614310,3.952744,-6.627758,8.564511,0.919246
0.020000,13.321449,21.461007,10.690781,3.823565,-6.458958,8.439984,0.900523
0.020000,13.367925,21.518532,10.764735,3.697675,-6.294473,8.224227,0.881877
0.020000,13.413884,21.573304,10.836234,3.574960,-6.135776,7.934864,0.863368
0.020000,13.459272,21.625414,10.905339,3.455280,-5.983986,7.589481,0.845054
0.020000,13.504034,21.674957,10.972109,3.338465,-5.840739,7.162366,0.826987
0.020000,13.548116,21.722024,11.036595,3.224321,-5.707184,6.677759,0.809219
0.020000,13.591465,21.766704,11.098848,3.112655,-5.583311,6.193666,0.791797
0.020000,13.634026,21.809087,11.158913,3.003242,-5.470677,5.631672,0.774761
0.020000,13.675747,21.849259,11.216830,2.895865,-5.368837,5.091996,0.758152
0.020000,13.716577,21.887302,11.272636,2.790296,-5.278431,4.520316,0.742002
0.020000,13.756462,21.923297,11.326363,2.686322,-5.198740,3.984523,0.726343
0.020000,13.795353,21.957323,11.378037,2.583718,-5.130170,3.428498,0.711199
0.020000,13.833199,21.989453,11.427683,2.482293,-5.071268,2.945140,0.696593
0.020000,13.869952,22.019760,11.475320,2.381828,-5.023265,2.400151,0.682543
0.020000,13.905563,22.048311,11.520963,2.282161,-4.983346,1.995955,0.669064
0.020000,13.939986,22.075172,11.564625,2.183136,-4.951233,1.605640,0.656168
0.020000,13.973175,22.100403,11.606317,2.084574,-4.928117,1.155793,0.643864
0.020000,14.005088,22.124065,11.646044,1.986375,-4.909943,0.908699,0.632158
0.020000,14.035681,22.146212,11.683812,1.888394,-4.899061,0.544074,0.621055
