dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.339157,18.498579,0.000625,0.062496,3.124782,156.239090,6.282835
0.020000,5.339030,18.498579,0.000751,0.006318,-2.808873,-296.682738,6.282954
0.020000,5.338924,18.498579,0.000858,0.005318,-0.050027,137.942286,0.000007
0.020000,5.346042,18.498581,0.007976,0.355920,17.530111,879.006889,0.000366
0.020000,5.355531,18.498586,0.017465,0.474443,5.926153,-580.197887,0.000846
0.020000,5.367388,18.498600,0.029322,0.592853,5.920485,-0.283413,0.001451
0.020000,5.381611,18.498626,0.043545,0.711139,5.914298,-0.309319,0.002181
0.020000,5.398196,18.498669,0.060130,0.829259,5.905999,-0.414934,0.003041
0.020000,5.417140,18.498736,0.079074,0.947209,5.897500,-0.424988,0.004033
0.020000,5.438438,18.498834,0.100373,1.064929,5.886014,-0.574281,0.005163
0.020000,5.462086,18.498971,0.124021,1.182421,5.874597,-0.570856,0.006433
0.020000,5.488078,18.499157,0.150014,1.299630,5.860458,-0.706950,0.007850
0.020000,5.516408,18.499401,0.178345,1.416549,5.845971,-0.724352,0.009419
0.020000,5.547069,18.499716,0.209007,1.533125,5.828763,-0.860416,0.011146
0.020000,5.580053,18.500115,0.241994,1.649334,5.810481,-0.914074,0.013039
0.020000,5.615353,18.500612,0.277297,1.765158,5.791167,-0.965726,0.015104
0.020000,5.652959,18.501222,0.314908,1.880534,5.768820,-1.117346,0.017350
0.020000,5.692861,18.501963,0.354817,1.995450,5.745794,-1.151273,0.019786
0.020000,5.735048,18.502853,0.397013,2.109838,5.719393,-1.320070,0.022421
0.020000,5.779510,18.503913,0.441487,2.223695,5.692865,-1.326397,0.025266
0.020000,5.826232,18.505165,0.488227,2.336964,5.663468,-1.469839,0.028332
0.020000,5.875201,18.506633,0.537218,2.449567,5.630109,-1.667977,0.031630
0.020000,5.926403,18.508344,0.588448,2.561513,5.597309,-1.639978,0.035175
0.020000,5.979821,18.510325,0.641903,2.672723,5.560528,-1.839049,0.038979
0.020000,6.035437,18.512607,0.697565,2.783123,5.519991,-2.026830,0.043057
0.020000,6.093231,18.515223,0.755419,2.892703,5.478999,-2.049596,0.047426
0.020000,6.153185,18.518208,0.815447,3.001378,5.433728,-2.263583,0.052101
0.020000,6.215273,18.521601,0.877628,3.109068,5.384523,-2.460242,0.057102
0.020000,6.279473,18.525442,0.941943,3.215741,5.333641,-2.544114,0.062449
0.020000,6.345758,18.529775,1.008369,3.321302,5.278034,-2.780328,0.068160
0.020000,6.414098,18.534649,1.076882,3.425676,5.218745,-2.964447,0.074260
