dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.338784,17.436079,0.000625,0.062496,3.124782,156.239090,6.282835
0.020000,5.338784,17.436079,0.003125,0.187487,6.249564,156.239090,6.282954
0.020000,5.338931,17.436079,0.008124,0.312478,6.249564,-0.000000,0.000007
0.020000,5.346431,17.436081,0.015624,0.437469,6.249564,-0.000000,0.000366
0.020000,5.356430,17.436087,0.025623,0.562461,6.249564,0.000000,0.000846
0.020000,5.368929,17.436101,0.038122,0.687452,6.249564,-0.000000,0.001451
0.020000,5.383928,17.436128,0.053121,0.812443,6.249564,0.000000,0.002181
0.020000,5.401427,17.436174,0.070620,0.937435,6.249564,-0.000000,0.003041
0.020000,5.421426,17.436245,0.090619,1.062426,6.249564,0.000000,0.004033
0.020000,5.443924,17.436348,0.113117,1.187417,6.249564,-0.000000,0.005163
0.020000,5.468922,17.436493,0.138115,1.312408,6.249564,0.000000,0.006433
0.020000,5.496419,17.436689,0.165613,1.437400,6.249564,-0.000000,0.007850
0.020000,5.526416,17.436948,0.195611,1.562391,6.249564,-0.000000,0.009419
0.020000,5.558912,17.437282,0.228109,1.687382,6.249564,0.000000,0.011146
0.020000,5.593907,17.437706,0.263107,1.812373,6.249564,0.000000,0.013039
0.020000,5.631400,17.438233,0.300604,1.937365,6.249564,-0.000000,0.015104
0.020000,5.671392,17.438882,0.340601,2.062356,6.249564,0.000000,0.017350
0.020000,5.713882,17.439671,0.383098,2.187347,6.249564,0.000000,0.019786
0.020000,5.758869,17.440620,0.428095,2.312339,6.249564,0.000000,0.022421
0.020000,5.806352,17.441752,0.475592,2.437330,6.249564,0.000000,0.025266
0.020000,5.856331,17.443092,0.525588,2.562321,6.249564,0.000000,0.028332
0.020000,5.908803,17.444665,0.578085,2.687312,6.249564,-0.000000,0.031630
0.020000,5.963769,17.446501,0.633081,2.812304,6.249564,0.000000,0.035175
0.020000,6.021225,17.448632,0.690577,2.937295,6.249564,-0.000000,0.038979
0.020000,6.081170,17.451092,0.750573,3.062286,6.249564,-0.000000,0.043057
0.020000,6.143602,17.453917,0.813068,3.187277,6.249564,0.000000,0.047426
0.020000,6.208517,17.457150,0.878064,3.312269,6.249564,-0.000000,0.052101
0.020000,6.275912,17.460832,0.945559,3.437260,6.249564,-0.000000,0.057102
0.020000,6.345782,17.465013,1.015554,3.562251,6.249564,0.000000,0.062449
0.020000,6.418122,17.469743,1.088049,3.687243,6.249564,-0.000000,0.068160
0.020000,6.492927,17.475077,1.163044,3.812234,6.249564,0.000000,0.074260
0.020000,6.570189,17.481077,1.240538,3.937225,6.249564,0.000000,0.080772
0.020000,6.649899,17.487807,1.320533,4.062216,6.249564,-0.000000,0.087721
0.020000,6.732049,17.495337,1.403027,4.187208,6.249564,0.000000,0.095135
0.020000,6.816626,17.503743,1.488021,4.312199,6.249564,0.000000,0.103042
0.020000,6.903618,17.513107,1.575515,4.437190,6.249564,0.000000,0.111473
0.020000,6.993007,17.523518,1.665509,4.562181,6.249564,0.000000,0.120462
0.020000,7.084776,17.535070,1.758002,4.687173,6.249564,0.000000,0.130044
0.020000,7.178903,17.547866,1.852996,4.812164,6.249564,0.000000,0.140256
0.020000,7.275363,17.562017,1.950489,4.937155,6.249564,0.000000,0.151137
0.020000,7.374127,17.577641,2.050482,5.062147,6.249564,0.000000,0.162730
0.020000,7.475162,17.594866,2.152975,5.187138,6.249564,0.000000,0.175079
0.020000,7.578427,17.613829,2.257967,5.312129,6.249564,0.000000,0.188230
0.020000,7.683877,17.634677,2.365460,5.437120,6.249564,-0.000000,0.202233
0.020000,7.791460,17.657567,2.475452,5.562112,6.249564,0.000000,0.217137
0.020000,7.901116,17.682666,2.587944,5.687103,6.249564,-0.000000,0.232997
0.020000,8.012773,17.710153,2.702936,5.812094,6.249564,0.000000,0.249865
0.020000,8.126351,17.740218,2.820428,5.937085,6.249564,0.000000,0.267796
0.020000,8.241759,17.773061,2.940420,6.062077,6.249564,-0.000000,0.286846
0.020000,8.358889,17.808895,3.062911,6.187068,6.249564,0.000000,0.307067
0.020000,8.477622,17.847942,3.187902,6.312059,6.249564,0.000000,0.328511
0.020000,8.597821,17.890434,3.315393,6.437051,6.249564,-0.000000,0.351226
0.020000,8.719330,17.936610,3.445384,6.562042,6.249564,0.000000,0.375254
0.020000,8.841976,17.986719,3.577875,6.687033,6.249564,-0.000000,0.400630
0.020000,8.965563,18.041012,3.712866,6.812024,6.249564,0.000000,0.427378
0.020000,9.089873,18.099743,3.850356,6.937016,6.249564,0.000000,0.455509
0.020000,9.214667,18.163165,3.990346,7.062007,6.249564,0.000000,0.485019
