dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.338412,16.373579,0.000625,0.062496,3.124782,156.239090,6.282835
0.020000,5.338539,16.373579,0.000751,0.006318,-2.808873,-296.682738,6.282954
0.020000,5.338939,16.373579,0.001151,0.020004,0.684307,174.658974,0.000007
0.020000,5.346819,16.373581,0.009032,0.394030,18.701268,900.848059,0.000366
0.020000,5.357329,16.373587,0.019542,0.525498,6.573428,-606.391989,0.000846
0.020000,5.370471,16.373602,0.032683,0.657061,6.578118,0.234512,0.001451
0.020000,5.386246,16.373631,0.048458,0.788761,6.585038,0.345967,0.002181
0.020000,5.404658,16.373679,0.066871,0.920611,6.592460,0.371145,0.003041
0.020000,5.425711,16.373753,0.087924,1.052662,6.602558,0.504903,0.004033
0.020000,5.449409,16.373862,0.111622,1.184908,6.612299,0.487028,0.005163
0.020000,5.475757,16.374015,0.137970,1.317411,6.625147,0.642388,0.006433
0.020000,5.504759,16.374222,0.166974,1.450172,6.638079,0.646606,0.007850
0.020000,5.536423,16.374495,0.198639,1.583249,6.653833,0.787707,0.009419
0.020000,5.570754,16.374848,0.232972,1.716646,6.669866,0.801660,0.011146
0.020000,5.607760,16.375296,0.269980,1.850409,6.688136,0.913499,0.013039
0.020000,5.647448,16.375854,0.309671,1.984585,6.708827,1.034560,0.015104
0.020000,5.689826,16.376542,0.352055,2.119182,6.729842,1.050723,0.017350
0.020000,5.734903,16.377379,0.397140,2.254262,6.753991,1.207451,0.019786
0.020000,5.782689,16.378387,0.444937,2.389830,6.778416,1.221235,0.022421
0.020000,5.833194,16.379591,0.495456,2.525970,6.806993,1.428870,0.025266
0.020000,5.886429,16.381018,0.548710,2.662707,6.836850,1.492842,0.028332
0.020000,5.942405,16.382696,0.604711,2.800047,6.866969,1.505951,0.031630
0.020000,6.001134,16.384658,0.663473,2.938102,6.902784,1.790748,0.035175
0.020000,6.062630,16.386939,0.725011,3.076891,6.939413,1.831475,0.038979
0.020000,6.126904,16.389576,0.789340,3.216439,6.977413,1.899990,0.043057
0.020000,6.193973,16.392612,0.856477,3.356858,7.020947,2.176718,0.047426
0.020000,6.263850,16.396091,0.926441,3.498178,7.065991,2.252164,0.052101
0.020000,6.336550,16.400064,0.999250,3.640444,7.113333,2.367110,0.057102
0.020000,6.412091,16.404584,1.074925,3.783765,7.166060,2.636343,0.062449
0.020000,6.490487,16.409710,1.153489,3.928187,7.221088,2.751428,0.068160
0.020000,6.571756,16.415506,1.234965,4.073790,7.280139,2.952506,0.074260
0.020000,6.655916,16.422041,1.319378,4.220660,7.343475,3.166803,0.080772
0.020000,6.742984,16.429392,1.406755,4.368867,7.410366,3.344578,0.087721
0.020000,6.832977,16.437641,1.497126,4.518555,7.484384,3.700874,0.095135
0.020000,6.925914,16.446879,1.590521,4.669744,7.559490,3.755323,0.103042
0.020000,7.021813,16.457202,1.686973,4.822621,7.643814,4.216196,0.111473
0.020000,7.120689,16.468717,1.786518,4.977211,7.729541,4.286371,0.120462
0.020000,7.222558,16.481541,1.889191,5.133678,7.823336,4.689751,0.130044
0.020000,7.327436,16.495799,1.995034,5.292144,7.923312,4.998771,0.140256
0.020000,7.435335,16.511629,2.104088,5.452701,8.027813,5.225056,0.151137
0.020000,7.546265,16.529178,2.216398,5.615477,8.138805,5.549605,0.162730
0.020000,7.660234,16.548609,2.332010,5.780639,8.258136,5.966536,0.175079
0.020000,7.777242,16.570096,2.450976,5.948256,8.380843,6.135339,0.188230
0.020000,7.897288,16.593830,2.573345,6.118464,8.510369,6.476306,0.202233
