dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.446499,17.274507,0.000650,0.065002,3.250080,162.504001,0.024040
0.020000,5.446499,17.274507,0.003250,0.195005,6.500160,162.504001,0.023687
0.020000,5.448482,17.274553,0.008450,0.325008,6.500160,0.000000,0.022984
0.020000,5.456280,17.274728,0.016250,0.455011,6.500160,-0.000000,0.021934
0.020000,5.466678,17.274949,0.026651,0.585014,6.500160,0.000000,0.020548
0.020000,5.479676,17.275205,0.039651,0.715018,6.500160,0.000000,0.018833
0.020000,5.495274,17.275483,0.055251,0.845021,6.500160,0.000000,0.016803
0.020000,5.513472,17.275767,0.073452,0.975024,6.500160,0.000000,0.014474
0.020000,5.534271,17.276041,0.094252,1.105027,6.500160,-0.000000,0.011862
0.020000,5.557670,17.276285,0.117653,1.235030,6.500160,0.000000,0.008987
0.020000,5.583670,17.276478,0.143654,1.365034,6.500160,-0.000000,0.005870
0.020000,5.612270,17.276598,0.172254,1.495037,6.500160,0.000000,0.002536
0.020000,5.643471,17.276622,0.203455,1.625040,6.500160,-0.000000,6.282195
0.020000,5.677272,17.276525,0.237256,1.755043,6.500160,0.000000,6.278505
0.020000,5.713672,17.276285,0.273657,1.885046,6.500160,-0.000000,6.274679
0.020000,5.752671,17.275876,0.312658,2.015050,6.500160,0.000000,6.270749
0.020000,5.794267,17.275275,0.354259,2.145053,6.500160,0.000000,6.266748
0.020000,5.838461,17.274458,0.398460,2.275056,6.500160,0.000000,6.262708
0.020000,5.885250,17.273404,0.445261,2.405059,6.500160,-0.000000,6.258665
0.020000,5.934634,17.272093,0.494662,2.535062,6.500160,0.000000,6.254656
0.020000,5.986611,17.270506,0.546663,2.665066,6.500160,-0.000000,6.250718
0.020000,6.041180,17.268628,0.601265,2.795069,6.500160,0.000000,6.246890
0.020000,6.098340,17.266445,0.658466,2.925072,6.500160,-0.000000,6.243211
0.020000,6.158089,17.263949,0.718268,3.055075,6.500160,0.000000,6.239724
0.020000,6.220427,17.261135,0.780669,3.185078,6.500160,-0.000000,6.236469
0.020000,6.285353,17.258000,0.845671,3.315082,6.500160,0.000000,6.233491
0.020000,6.352867,17.254550,0.913272,3.445085,6.500160,-0.000000,6.230834
0.020000,6.422968,17.250794,0.983474,3.575088,6.500160,0.000000,6.228546
0.020000,6.495657,17.246747,1.056276,3.705091,6.500160,-0.000000,6.226673
0.020000,6.570935,17.242431,1.131678,3.835094,6.500160,-0.000000,6.225267
0.020000,6.648804,17.237878,1.209680,3.965098,6.500160,0.000000,6.224380
0.020000,6.729266,17.233124,1.290282,4.095101,6.500160,0.000000,6.224068
0.020000,6.812323,17.228217,1.373484,4.225104,6.500160,0.000000,6.224389
0.020000,6.897980,17.223214,1.459286,4.355107,6.500160,-0.000000,6.225404
0.020000,6.986238,17.218182,1.547688,4.485110,6.500160,0.000000,6.227182
0.020000,7.077104,17.213200,1.638690,4.615114,6.500160,-0.000000,6.229794
0.020000,7.170581,17.208363,1.732293,4.745117,6.500160,0.000000,6.233316
0.020000,7.266674,17.203777,1.828495,4.875120,6.500160,0.000000,6.237833
0.020000,7.365387,17.199566,1.927297,5.005123,6.500160,-0.000000,6.243437
0.020000,7.466722,17.195872,2.028700,5.135126,6.500160,0.000000,6.250229
0.020000,7.570680,17.192856,2.132703,5.265130,6.500160,0.000000,6.258320
0.020000,7.677261,17.190701,2.239305,5.395133,6.500160,-0.000000,6.267831
0.020000,7.786458,17.189616,2.348508,5.525136,6.500160,0.000000,6.278899
0.020000,7.898259,17.189837,2.460311,5.655139,6.500160,0.000000,0.008486
0.020000,8.012647,17.191630,2.574713,5.785142,6.500160,-0.000000,0.023128
0.020000,8.129591,17.195294,2.691716,5.915146,6.500160,0.000000,0.039820
0.020000,8.249048,17.201168,2.811319,6.045149,6.500160,-0.000000,0.058760
0.020000,8.370956,17.209628,2.933522,6.175152,6.500160,0.000000,0.080161
0.020000,8.495228,17.221095,3.058325,6.305155,6.500160,0.000000,0.104252
0.020000,8.621748,17.236037,3.185728,6.435158,6.500160,-0.000000,0.131271
0.020000,8.750360,17.254967,3.315732,6.565162,6.500160,0.000000,0.161460
0.020000,8.880862,17.278447,3.448335,6.695165,6.500160,0.000000,0.195053
0.020000,9.012990,17.307081,3.583538,6.825168,6.500160,-0.000000,0.232259
0.020000,9.146415,17.341504,3.721342,6.955171,6.500160,0.000000,0.273243
0.020000,9.280725,17.382377,3.861745,7.085174,6.500160,0.000000,0.318090
0.020000,9.415424,17.430358,4.004749,7.215178,6.500160,-0.000000,0.366780
0.020000,9.549926,17.486078,4.150352,7.345181,6.500160,0.000000,0.419147
0.020000,9.683562,17.550108,4.298556,7.475184,6.500160,-0.000000,0.474852
0.020000,9.815597,17.622924,4.449360,7.605187,6.500160,0.000000,0.533368
0.020000,9.945253,17.704867,4.602763,7.735190,6.500160,0.000000,0.593986
0.020000,10.071751,17.796123,4.758767,7.865194,6.500160,-0.000000,0.655855
0.020000,10.194352,17.896702,4.917371,7.995197,6.500160,0.000000,0.718041
0.020000,10.312394,18.006449,5.078575,8.125200,6.500160,0.000000,0.779607
0.020000,10.425333,18.125059,5.242379,8.255203,6.500160,0.000000,0.839696
0.020000,10.532756,18.252113,5.408783,8.385206,6.500160,-0.000000,0.897586
0.020000,10.634392,18.387115,5.577787,8.515210,6.500160,0.000000,0.952735
0.020000,10.729749,18.528980,5.748742,8.580211,3.250080,-162.504001,1.004590
0.020000,10.817938,18.675460,5.919737,8.519300,-3.045564,-314.782205,1.052494
